as_of_date,member_id,permno,symbol,ticker_history,company_name,current_security_name,start_date,end_date,source,quote_status
1957-12-31,permno-10321-19570301,10321,AMO,AMO,NASH KELVINATOR CORP; AMERICAN MOTORS CORP; NASH MOTORS CO,,1957-03-01,1987-08-05,wrds,auto
1957-12-31,permno-21020-19570301,21020,AMR,"AAL, AMR",A M R CORP DEL; AMERICAN AIRLINES GROUP INC; AMERICAN AIRLS INC,,1957-03-01,1996-01-02,wrds,ticker_history_requires_override
1957-12-31,permno-10057-19570301,10057,AMT,"NCM, AMT",ACME CLEVELAND CORP NEW; NATIONAL ACME CO; ACME CLEVELAND CORP,,1957-03-01,1992-07-02,wrds,ticker_history_requires_override
1957-12-31,permno-10161-19570301,10161,AMX,AMX,AMERICAN METAL CLIMAX INC; AMERICAN METAL LTD; AMAX INC,,1957-03-01,1993-11-12,wrds,auto
1957-12-31,permno-10102-19570301,10102,AN,AN,AIR REDUCTION INC; AIRCO INC,,1957-03-01,1975-02-05,wrds,reused_symbol_requires_override
1957-12-31,permno-19553-19570301,19553,AN,"SN, AN",STANDARD OIL CO IND; AMOCO CORP,,1957-03-01,1996-01-02,wrds,ticker_history_requires_override
1957-12-31,permno-24141-19570301,24141,ANR,"ANG, ANR",AMERICAN NAT GAS CO; AMERICAN NATURAL GAS CO; AMERICAN NATURAL RESOURCE CO,,1957-03-01,1985-05-22,wrds,ticker_history_requires_override
1957-12-31,permno-18315-19570301,18315,APC,"AHP, SGI, SGIB, APC",ALPHA PORTLAND INDS INC; ALPHA PORTLAND CEM CO; SLATTERY GROUP INC,,1957-03-01,1982-09-15,wrds,ticker_history_requires_override
1957-12-31,permno-10364-19570301,10364,AR,AR,AMERICAN SMLT & REFNG CO; ASARCO INC,,1957-03-01,1996-01-02,wrds,reused_symbol_requires_override
1957-12-31,permno-10604-19570301,10604,ARC,"AFI, ARC",ATLANTIC REFNG CO; ATLANTIC RICHFIELD CO,,1957-03-01,1996-01-02,wrds,ticker_history_requires_override
1957-12-31,permno-17566-19570301,17566,AS,AS,AMERICAN ROLLING ML CO; ARMCO STL CORP; ARMCO INC,,1957-03-01,1996-01-02,wrds,reused_symbol_requires_override
1957-12-31,permno-17558-19570301,17558,ASC,ASC,AMERICAN STORES CO; ACME MKTS INC,,1957-03-01,1979-07-27,wrds,reused_symbol_requires_override
1957-12-31,permno-10575-19570301,10575,ASF,"SF, ASF",ATCHISON TOPEKA & SANTA FE RY CO,,1957-03-01,1968-08-20,wrds,ticker_history_requires_override
1957-12-31,permno-10479-19570301,10479,ASR,ASR,AMERICAN SUGAR CO; AMSTAR CORP; AMERICAN SUGAR REFNG CO,,1957-03-01,1973-02-28,wrds,reused_symbol_requires_override
1957-12-31,permno-10372-19570301,10372,AST,AST,AMERICAN RADIATOR CO; AMERICAN STANDARD INC; AMERICAN RADIATOR & STD SAN CORP,,1957-03-01,1988-04-27,wrds,auto
1957-12-31,permno-22074-19570301,22074,ASU,"VON, ASU",A C F BRILL MOTORS CO; VONS COMPANIES INC; A C F WRIGLEY STORES INC; ALLIED SUPERMARKETS INC,,1957-03-01,1965-06-16,wrds,ticker_history_requires_override
1957-12-31,permno-20431-19570301,20431,ATS,ATS,ASSOCIATES INVESTMENT CO,,1957-03-01,1969-07-02,wrds,auto
1957-12-31,permno-19668-19570301,19668,AUD,AUD,CHICAGO MAIL ORDER CO; ALDENS INC,,1957-03-01,1965-01-06,wrds,auto
1957-12-31,permno-21549-19570301,21549,AVC,"VIS, AVC",A V C CORP; AMERICAN VISCOSE CORP,,1957-03-01,1963-09-04,wrds,ticker_history_requires_override
1957-12-31,permno-17689-19570301,17689,AWC,AWC,ANACONDA WIRE & CABLE CO,,1957-03-01,1964-01-15,wrds,auto
1957-12-31,permno-10591-19570301,10591,AX,AX,ATLANTIC COAST LINE RR CO,,1957-03-01,1967-06-28,wrds,auto
1957-12-31,permno-25662-19570301,25662,AXO,"ANK, AXO",AKZONA INC; AMERICAN ENKA CORP,,1957-03-01,1982-09-15,wrds,ticker_history_requires_override
1957-12-31,permno-10137-19570301,10137,AYE,"AYP, AYE",WEST PENN ELECTRIC CO; ALLEGHENY ENERGY INC; ALLEGHENY POWER SYSTEMS INC; AMERICAN WATER WORKS & ELEC INC,,1957-03-01,1976-06-30,wrds,ticker_history_requires_override
1957-12-31,permno-24854-19570301,24854,BAW,BAW,BABCOCK & WILCOX CO,,1957-03-01,1978-04-12,wrds,auto
1957-12-31,permno-25697-19570301,25697,BEC,BEC,BECKMAN INSTRUMENTS INC,,1957-03-01,1974-10-16,wrds,reused_symbol_requires_override
1957-12-31,permno-23296-19570301,23296,BEM,BEM,BEAUNIT MLS INC; BEAUNIT CORP,,1957-03-01,1967-05-17,wrds,auto
1957-12-31,permno-10807-19570301,10807,BG,BG,BRIGGS MFG CO,,1957-03-01,1965-10-20,wrds,reused_symbol_requires_override
1957-12-31,permno-10866-19570301,10866,BG,"BWS, CAL, BG",BROWN SHOE INC; CALERES INC; BROWN SHOE CO INC NEW; BROWN SHOE CO INC; BROWN GROUP INC,,1957-03-01,1996-01-02,wrds,ticker_history_requires_override
1957-12-31,permno-24221-19570301,24221,BGE,"CEG, BGE",CONSOLIDATED GAS ELEC LT & PWR; BALTIMORE GAS & ELECTRIC CO; CONSTELLATION ENERGY GROUP INC,,1957-03-01,1996-01-02,wrds,ticker_history_requires_override
1957-12-31,permno-10890-19570301,10890,BGH,"UIS, BGH",BURROUGHS ADDING MACH CO; BURROUGHS CORP; UNISYS CORP,,1957-03-01,1996-01-02,wrds,ticker_history_requires_override
1957-12-31,permno-19270-19570301,19270,BGS,BGS,BIGELOW SANFORD CARPET CO; BIGELOW SANFORD INC; BIGELOW SANFORD CARPET CORP,,1957-03-01,1967-04-12,wrds,auto
1957-12-31,permno-17582-19570301,17582,BHL,BHL,BOHN ALUM & BRASS CORP,,1957-03-01,1963-08-28,wrds,auto
